ID,smiles
ske_MYX_AB_1,Nc1nc(-c2nnc[nH]2)n[nH]1
ske_MYX_AB_2,Nn1cnc(-c2nnc[nH]2)n1
ske_MYX_AB_3,Nc1nnc(-c2nc[nH]n2)[nH]1
ske_MYX_AB_4,Nn1cnnc1-c1nc[nH]n1
ske_MYX_AB_5,O=[N+]([O-])c1nc(-c2nnc[nH]2)n[nH]1
ske_MYX_AB_6,O=[N+]([O-])n1cnc(-c2nnc[nH]2)n1
ske_MYX_AB_7,O=[N+]([O-])c1nnc(-c2nc[nH]n2)[nH]1
ske_MYX_AB_8,O=[N+]([O-])n1cnnc1-c1nc[nH]n1
ske_MYX_AB_9,Nc1nc(-c2nnc[nH]2)nn1N
ske_MYX_AB_10,Nc1nc(-c2nnc(N)[nH]2)n[nH]1
ske_MYX_AB_11,Nc1nc(-c2nncn2N)n[nH]1
ske_MYX_AB_12,Nc1nnc(-c2ncn(N)n2)[nH]1
ske_MYX_AB_13,Nn1cnc(-c2nncn2N)n1
ske_MYX_AB_14,Nc1nnc(-c2nc[nH]n2)n1N
ske_MYX_AB_15,Nc1nc(-c2nnc[nH]2)nn1[N+](=O)[O-]
ske_MYX_AB_16,Nc1nc(-c2nnc([N+](=O)[O-])[nH]2)n[nH]1
ske_MYX_AB_17,Nc1nc(-c2nncn2[N+](=O)[O-])n[nH]1
ske_MYX_AB_18,Nn1nc(-c2nnc[nH]2)nc1[N+](=O)[O-]
ske_MYX_AB_19,Nn1cnc(-c2nnc([N+](=O)[O-])[nH]2)n1
ske_MYX_AB_20,Nn1cnc(-c2nncn2[N+](=O)[O-])n1
ske_MYX_AB_21,Nc1nnc(-c2n[nH]c([N+](=O)[O-])n2)[nH]1
ske_MYX_AB_22,Nc1nnc(-c2ncn([N+](=O)[O-])n2)[nH]1
ske_MYX_AB_23,Nc1nnc(-c2nc[nH]n2)n1[N+](=O)[O-]
ske_MYX_AB_24,Nn1cnnc1-c1n[nH]c([N+](=O)[O-])n1
ske_MYX_AB_25,Nn1cnnc1-c1ncn([N+](=O)[O-])n1
ske_MYX_AB_26,Nn1c(-c2nc[nH]n2)nnc1[N+](=O)[O-]
ske_MYX_AB_27,O=[N+]([O-])c1nc(-c2nnc[nH]2)nn1[N+](=O)[O-]
ske_MYX_AB_28,O=[N+]([O-])c1nc(-c2nnc([N+](=O)[O-])[nH]2)n[nH]1
ske_MYX_AB_29,O=[N+]([O-])c1nc(-c2nncn2[N+](=O)[O-])n[nH]1
ske_MYX_AB_30,O=[N+]([O-])c1nnc(-c2ncn([N+](=O)[O-])n2)[nH]1
ske_MYX_AB_31,O=[N+]([O-])n1cnc(-c2nncn2[N+](=O)[O-])n1
ske_MYX_AB_32,O=[N+]([O-])c1nnc(-c2nc[nH]n2)n1[N+](=O)[O-]
ske_MYX_AB_33,Nc1nnc(-c2nc(N)n(N)n2)[nH]1
ske_MYX_AB_34,Nc1nc(-c2nncn2N)nn1N
ske_MYX_AB_35,Nc1nc(-c2nnc(N)n2N)n[nH]1
ske_MYX_AB_36,Nc1nnc(-c2ncn(N)n2)n1N
ske_MYX_AB_37,Nc1nc(-c2nnc([N+](=O)[O-])[nH]2)nn1N
ske_MYX_AB_38,Nc1nc(-c2nncn2[N+](=O)[O-])nn1N
ske_MYX_AB_39,Nc1nnc(-c2nc(N)n([N+](=O)[O-])n2)[nH]1
ske_MYX_AB_40,Nc1nc(-c2nnc(N)n2[N+](=O)[O-])n[nH]1
